orderid,createdtimestamp,iscancelled,isconfirmed,maxfulfillmentstatusid,minfulfillmentstatusid,ordertypeid,orgid,sellinglocationid,messageid,utmcampaign,utmmedium,utmsource,customeremail,fulfillmentstatus,alternateorderid,order_source,payment_method,shipping_method,customer_type,device_type,browser
122000289,2024-08-19T00:00:00.000,False,True,4000,4000,STORE,dxlg-us,LOC3928,ffc9894d-9033-44a0-bcd0-58f1b7b5197a,fall_clearance,direct,bing,customer8925@email.com,Fulfilled,ALT421549,CALL_CENTER,GIFT_CARD,EXPRESS,NEW,MOBILE,Edge
122000290,2021-10-24T00:00:00.000,False,True,4000,4000,STORE,dxlg-us,LOC6544,1346840f-efee-4e97-a6ee-19c1b38d6ef0,new_year,direct,bing,customer1852@email.com,Fulfilled,ALT508004,WEBSITE,CREDIT_CARD,EXPRESS,LOYALTY,APP,Chrome
122000291,2020-09-19T00:00:00.000,False,True,3000,3000,WEB,dxlg-us,LOC1618,2c2ac567-bb7d-41dd-9a23-e0353b33fb11,cyber_monday,organic,newsletter,customer9536@email.com,Fulfilled,ALT846172,WEBSITE,DEBIT_CARD,PICKUP,LOYALTY,DESKTOP,Safari
122000292,2025-10-23T00:00:00.000,False,True,3000,3000,MOBILE,dxlg-us,LOC3776,a1a5fb95-fcd4-4a36-8424-81afaa09b8c6,cyber_monday,email,instagram,customer4919@email.com,Processing,ALT100301,MOBILE_APP,CREDIT_CARD,OVERNIGHT,LOYALTY,TABLET,Edge
122000293,2024-07-18T00:00:00.000,False,True,4000,4000,WEB,dxlg-us,LOC2124,7bddbbce-5833-4592-9922-3342c8fd1653,spring_sale,direct,instagram,customer6703@email.com,Fulfilled,ALT955129,CALL_CENTER,DEBIT_CARD,SAME_DAY,RETURNING,APP,Edge
122000294,2020-01-20T00:00:00.000,False,True,2000,2000,WEB,dxlg-us,LOC2185,8a105cce-e0c3-4cbd-84e8-bcd3879f9e2b,black_friday,cpc,instagram,customer2917@email.com,Cancelled,ALT638220,CALL_CENTER,APPLE_PAY,SAME_DAY,VIP,APP,Edge
122000295,2025-06-03T00:00:00.000,False,True,3000,3000,STORE,dxlg-us,LOC8548,0909ef3d-13ed-48fa-8114-6340bb527bc8,black_friday,email,newsletter,customer2904@email.com,Fulfilled,ALT170835,IN_STORE,DEBIT_CARD,EXPRESS,VIP,APP,Firefox
122000296,2025-10-16T00:00:00.000,False,True,5000,5000,PHONE,dxlg-us,LOC5067,5f9fe59d-fc3d-4fd8-b626-84eac52d1629,fall_clearance,email,newsletter,customer6603@email.com,Fulfilled,ALT681489,MOBILE_APP,GIFT_CARD,OVERNIGHT,VIP,MOBILE,Mobile Safari
122000297,2023-01-07T00:00:00.000,False,True,5000,5000,MOBILE,dxlg-us,LOC9175,81db38ce-caea-47fa-9ce6-16fb07b49f0a,cyber_monday,social,facebook,customer4965@email.com,Cancelled,ALT378297,MOBILE_APP,DEBIT_CARD,EXPRESS,RETURNING,TABLET,Safari
122000298,2021-03-12T00:00:00.000,False,True,3000,3000,STORE,dxlg-us,LOC1108,5cdf37f2-2c97-46bd-8919-a0487ec150ff,new_year,direct,google,customer8901@email.com,Fulfilled,ALT750817,CALL_CENTER,GIFT_CARD,SAME_DAY,VIP,APP,Safari
122000299,2025-09-24T00:00:00.000,False,True,3000,3000,MOBILE,dxlg-us,LOC1887,16952fc1-760b-493d-82ad-266bbbbaa5c2,black_friday,organic,newsletter,customer9859@email.com,Fulfilled,ALT626883,CALL_CENTER,GIFT_CARD,EXPRESS,LOYALTY,DESKTOP,Mobile Safari
122000300,2025-02-27T00:00:00.000,False,True,3000,3000,WEB,dxlg-us,LOC4452,3f948711-3e6a-4d30-ad76-de959be43461,holiday_2024,direct,google,customer6331@email.com,Fulfilled,ALT742544,CALL_CENTER,DEBIT_CARD,SAME_DAY,VIP,MOBILE,Firefox
122000301,2025-04-14T00:00:00.000,False,True,3000,3000,MOBILE,dxlg-us,LOC9171,917de02a-29b9-46f2-9790-6f236c2583d6,holiday_2024,social,newsletter,customer7099@email.com,Fulfilled,ALT995825,IN_STORE,PAYPAL,PICKUP,RETURNING,MOBILE,Mobile Safari
122000302,2022-07-25T00:00:00.000,False,True,5000,5000,PHONE,dxlg-us,LOC4863,d4a81799-8983-4f3a-8534-6bbc93e7a111,black_friday,organic,affiliate,customer7240@email.com,Fulfilled,ALT252928,MOBILE_APP,GIFT_CARD,STANDARD,RETURNING,APP,Edge
122000303,2021-07-04T00:00:00.000,False,True,2000,2000,PHONE,dxlg-us,LOC5111,99b9e547-d45f-4c83-945e-b242637461ee,black_friday,direct,google,customer7527@email.com,Fulfilled,ALT824087,MOBILE_APP,CREDIT_CARD,EXPRESS,VIP,APP,Chrome
122000304,2025-01-16T00:00:00.000,False,True,3000,3000,PHONE,dxlg-us,LOC6903,95420fdd-4710-4b03-a936-b4be9ac286bb,black_friday,direct,affiliate,customer5222@email.com,Fulfilled,ALT120798,IN_STORE,CREDIT_CARD,OVERNIGHT,RETURNING,MOBILE,Firefox
122000305,2023-12-25T00:00:00.000,False,True,4000,4000,STORE,dxlg-us,LOC8322,e27de608-22db-4f73-8462-a3c65e6eaf4d,spring_sale,organic,bing,customer5694@email.com,Pending,ALT762398,MOBILE_APP,DEBIT_CARD,OVERNIGHT,LOYALTY,APP,Chrome
122000306,2020-11-20T00:00:00.000,False,True,3000,3000,PHONE,dxlg-us,LOC6191,a022003e-c277-4ecc-b4ca-cf9a154fdcb8,cyber_monday,cpc,twitter,customer5382@email.com,Shipped,ALT775958,IN_STORE,PAYPAL,PICKUP,VIP,APP,Edge
122000307,2021-11-16T00:00:00.000,False,True,3000,3000,MOBILE,dxlg-us,LOC4844,a9e400f4-8f5f-4281-a976-6d4d05f93ecd,cyber_monday,cpc,twitter,customer2311@email.com,Fulfilled,ALT275018,IN_STORE,CREDIT_CARD,STANDARD,NEW,APP,Mobile Safari
122000308,2020-08-08T00:00:00.000,False,True,2000,2000,WEB,dxlg-us,LOC2702,5dac0a51-4852-416b-8707-2890eeee7d5f,fall_clearance,direct,facebook,customer2381@email.com,Processing,ALT508783,CALL_CENTER,DEBIT_CARD,EXPRESS,VIP,APP,Safari
122000309,2021-06-21T00:00:00.000,False,True,3000,3000,WEB,dxlg-us,LOC1575,8d9239f9-6102-4b08-a4c5-81a95343a4d4,cyber_monday,cpc,affiliate,customer6328@email.com,Cancelled,ALT599284,IN_STORE,APPLE_PAY,OVERNIGHT,LOYALTY,MOBILE,Mobile Safari
122000310,2021-12-26T00:00:00.000,False,True,2000,2000,STORE,dxlg-us,LOC9576,8a2d502b-b1f6-4fd7-bc6b-a86ded984934,cyber_monday,referral,bing,customer6073@email.com,Fulfilled,ALT605048,MOBILE_APP,CREDIT_CARD,PICKUP,VIP,TABLET,Edge
122000311,2022-11-30T00:00:00.000,False,True,3000,3000,WEB,dxlg-us,LOC9574,b4eb0f31-81f4-47be-8234-bd9df91a87bc,new_year,social,instagram,customer5698@email.com,Pending,ALT661091,WEBSITE,GIFT_CARD,PICKUP,VIP,DESKTOP,Edge
122000312,2023-04-14T00:00:00.000,False,True,3000,3000,PHONE,dxlg-us,LOC4089,f7987a02-08f4-428d-8982-b6b0cf1fcc8e,holiday_2024,direct,newsletter,customer7467@email.com,Fulfilled,ALT271200,IN_STORE,GIFT_CARD,EXPRESS,VIP,DESKTOP,Edge
122000313,2022-09-08T00:00:00.000,False,True,4000,4000,PHONE,dxlg-us,LOC5664,81b79ee9-0e44-4f8b-8b24-ff0f7b16ea4e,cyber_monday,referral,bing,customer5404@email.com,Pending,ALT297132,WEBSITE,DEBIT_CARD,EXPRESS,VIP,DESKTOP,Edge
122000314,2025-01-28T00:00:00.000,False,True,4000,4000,STORE,dxlg-us,LOC4076,75ea0b07-afe4-4a4e-b06d-14640c2d2dd0,fall_clearance,email,facebook,customer1813@email.com,Shipped,ALT123205,MOBILE_APP,CREDIT_CARD,OVERNIGHT,VIP,MOBILE,Edge
122000315,2020-02-03T00:00:00.000,False,True,3000,3000,WEB,dxlg-us,LOC9086,051fa459-10d9-435f-bba4-cc125c573ed6,summer_promo,cpc,newsletter,customer6104@email.com,Cancelled,ALT938297,IN_STORE,PAYPAL,PICKUP,NEW,TABLET,Chrome
122000316,2021-08-21T00:00:00.000,False,True,2000,2000,WEB,dxlg-us,LOC9899,9d2f9450-bce4-4e40-8e4b-b50863435f94,holiday_2024,social,facebook,customer5097@email.com,Cancelled,ALT500112,WEBSITE,CREDIT_CARD,EXPRESS,LOYALTY,APP,Safari
122000317,2020-05-17T00:00:00.000,False,True,5000,5000,WEB,dxlg-us,LOC9538,7420e583-2c2c-458e-a8b2-94fe8762e8a8,cyber_monday,social,newsletter,customer7375@email.com,Processing,ALT427270,CALL_CENTER,DEBIT_CARD,STANDARD,NEW,TABLET,Edge
122000318,2023-05-08T00:00:00.000,False,True,3000,3000,MOBILE,dxlg-us,LOC2850,1394f4a0-2b7e-4472-ab07-6cb8228af2ab,summer_promo,referral,newsletter,customer6316@email.com,Fulfilled,ALT275490,CALL_CENTER,APPLE_PAY,STANDARD,LOYALTY,MOBILE,Chrome
122000319,2020-06-21T00:00:00.000,False,True,5000,5000,STORE,dxlg-us,LOC3539,3a06e989-4611-44c5-a7c9-1391d73c3e39,fall_clearance,email,facebook,customer3583@email.com,Pending,ALT195841,CALL_CENTER,CREDIT_CARD,STANDARD,VIP,MOBILE,Mobile Safari
122000320,2021-03-15T00:00:00.000,False,True,3000,3000,PHONE,dxlg-us,LOC6690,f42f4357-be90-4519-ab09-087974618399,new_year,organic,twitter,customer4161@email.com,Fulfilled,ALT822730,IN_STORE,PAYPAL,EXPRESS,VIP,DESKTOP,Edge
122000321,2024-11-27T00:00:00.000,False,True,4000,4000,STORE,dxlg-us,LOC4109,d04cb650-6792-4978-8c46-132f06061f86,black_friday,social,bing,customer6696@email.com,Fulfilled,ALT867979,IN_STORE,PAYPAL,SAME_DAY,RETURNING,DESKTOP,Mobile Safari
122000322,2021-09-26T00:00:00.000,False,True,3000,3000,PHONE,dxlg-us,LOC8439,cf8ef107-6e49-4393-9b80-7d47573a2914,spring_sale,referral,bing,customer7210@email.com,Processing,ALT294546,WEBSITE,APPLE_PAY,OVERNIGHT,RETURNING,TABLET,Chrome
122000323,2024-05-06T00:00:00.000,False,True,5000,5000,STORE,dxlg-us,LOC3525,5c082ba3-ebfa-4b76-bd6e-7ddaabe861e6,black_friday,cpc,instagram,customer7714@email.com,Processing,ALT437666,WEBSITE,CREDIT_CARD,SAME_DAY,NEW,DESKTOP,Safari
122000324,2022-01-01T00:00:00.000,False,True,3000,3000,WEB,dxlg-us,LOC8952,9b10aad8-9678-4736-8df8-145fea0461e9,summer_promo,email,google,customer7366@email.com,Processing,ALT613707,CALL_CENTER,CREDIT_CARD,OVERNIGHT,RETURNING,DESKTOP,Chrome
122000325,2022-05-04T00:00:00.000,False,True,3000,3000,STORE,dxlg-us,LOC1994,198e669f-5cb9-4b68-b4a6-d43545820515,fall_clearance,direct,twitter,customer7814@email.com,Cancelled,ALT486996,WEBSITE,APPLE_PAY,OVERNIGHT,NEW,DESKTOP,Firefox
122000326,2020-11-15T00:00:00.000,False,True,4000,4000,WEB,dxlg-us,LOC2658,f767a8f9-e6b1-4fd3-914e-6c9b3a0f9ec4,cyber_monday,social,bing,customer7313@email.com,Fulfilled,ALT302500,MOBILE_APP,APPLE_PAY,EXPRESS,LOYALTY,DESKTOP,Mobile Safari
122000327,2024-01-06T00:00:00.000,False,True,5000,5000,STORE,dxlg-us,LOC2705,9aa0b341-fbb5-4df6-8890-214c7f8edd2f,summer_promo,social,bing,customer7579@email.com,Shipped,ALT453907,MOBILE_APP,APPLE_PAY,SAME_DAY,LOYALTY,TABLET,Firefox
122000328,2023-08-22T00:00:00.000,False,True,2000,2000,STORE,dxlg-us,LOC6299,541d6c73-2db4-4db8-91e2-525a8ce70e76,black_friday,social,bing,customer9939@email.com,Fulfilled,ALT493282,CALL_CENTER,PAYPAL,PICKUP,LOYALTY,APP,Chrome
122000329,2020-05-21T00:00:00.000,True,False,4000,4000,MOBILE,dxlg-us,LOC5945,481e11e5-6317-49fa-bb2c-c27c3b2ac247,spring_sale,cpc,facebook,customer4519@email.com,Cancelled,ALT430201,WEBSITE,PAYPAL,SAME_DAY,RETURNING,DESKTOP,Chrome
122000330,2025-02-28T00:00:00.000,False,True,3000,3000,PHONE,dxlg-us,LOC7014,ff9f71f3-b4a9-4446-bae4-e8b4cfa6907c,black_friday,social,facebook,customer5198@email.com,Cancelled,ALT414889,WEBSITE,APPLE_PAY,PICKUP,RETURNING,DESKTOP,Firefox
122000331,2025-05-30T00:00:00.000,False,True,5000,5000,WEB,dxlg-us,LOC5921,0d6323c1-87b0-41b3-a6ca-1ba0602999c9,spring_sale,referral,affiliate,customer7251@email.com,Fulfilled,ALT918017,WEBSITE,PAYPAL,OVERNIGHT,LOYALTY,APP,Chrome
122000332,2022-07-17T00:00:00.000,False,True,4000,4000,WEB,dxlg-us,LOC7266,7f3f84ba-73d3-4caf-9e83-2fe285ecfee3,spring_sale,cpc,bing,customer1674@email.com,Fulfilled,ALT666157,MOBILE_APP,PAYPAL,SAME_DAY,RETURNING,MOBILE,Chrome
122000333,2024-05-28T00:00:00.000,True,False,3000,3000,STORE,dxlg-us,LOC5747,10ec0630-bb62-4ed0-ac9c-f59c4e745721,new_year,organic,facebook,customer3165@email.com,Fulfilled,ALT186554,IN_STORE,APPLE_PAY,STANDARD,LOYALTY,TABLET,Chrome
122000334,2024-06-20T00:00:00.000,False,True,5000,5000,MOBILE,dxlg-us,LOC3209,6ea9dd10-1435-4649-b11b-f99d526f0dd0,holiday_2024,direct,facebook,customer8993@email.com,Pending,ALT783932,MOBILE_APP,APPLE_PAY,SAME_DAY,RETURNING,MOBILE,Chrome
122000335,2022-12-26T00:00:00.000,False,True,3000,3000,WEB,dxlg-us,LOC2843,b6381b38-de97-43bc-b360-360170c01108,cyber_monday,organic,newsletter,customer6984@email.com,Fulfilled,ALT299742,CALL_CENTER,PAYPAL,SAME_DAY,NEW,TABLET,Safari
122000336,2023-12-03T00:00:00.000,False,True,2000,2000,MOBILE,dxlg-us,LOC8216,f9600c64-704d-4f24-a53f-cfd12c4f0bbf,spring_sale,social,facebook,customer7124@email.com,Fulfilled,ALT894541,WEBSITE,CREDIT_CARD,STANDARD,RETURNING,MOBILE,Firefox
122000337,2020-02-26T00:00:00.000,False,True,3000,3000,PHONE,dxlg-us,LOC8373,0aceee2c-f0de-4c68-bb1a-494b10ccef4e,holiday_2024,email,instagram,customer4424@email.com,Processing,ALT664139,MOBILE_APP,DEBIT_CARD,SAME_DAY,VIP,APP,Mobile Safari
122000338,2021-08-01T00:00:00.000,False,True,5000,5000,WEB,dxlg-us,LOC7170,825ce905-bd66-4b0b-8daa-e8d1c0bafb5f,black_friday,referral,bing,customer1712@email.com,Fulfilled,ALT278593,WEBSITE,PAYPAL,EXPRESS,VIP,DESKTOP,Edge
122000339,2020-02-04T00:00:00.000,False,True,5000,5000,PHONE,dxlg-us,LOC6901,3dae8a08-7cc4-4f50-a25c-5a1bb2fff3ee,new_year,email,google,customer5792@email.com,Cancelled,ALT780956,IN_STORE,DEBIT_CARD,PICKUP,NEW,TABLET,Edge
122000340,2020-12-26T00:00:00.000,False,True,4000,4000,STORE,dxlg-us,LOC1352,10c541b7-7b75-4ae3-9d76-9d9ab5efd773,spring_sale,social,bing,customer5995@email.com,Fulfilled,ALT613731,IN_STORE,DEBIT_CARD,STANDARD,VIP,TABLET,Firefox
122000341,2023-05-23T00:00:00.000,False,True,4000,4000,PHONE,dxlg-us,LOC2015,3d1bb3b3-7fb4-46f5-89d2-d030e67fd458,cyber_monday,cpc,newsletter,customer1482@email.com,Shipped,ALT393804,MOBILE_APP,DEBIT_CARD,OVERNIGHT,LOYALTY,MOBILE,Chrome
122000342,2024-04-14T00:00:00.000,False,True,5000,5000,MOBILE,dxlg-us,LOC7837,73c274e4-3024-4d85-824e-c315740782fc,summer_promo,direct,facebook,customer7987@email.com,Fulfilled,ALT734775,CALL_CENTER,GIFT_CARD,SAME_DAY,RETURNING,MOBILE,Safari
122000343,2022-04-08T00:00:00.000,False,True,3000,3000,MOBILE,dxlg-us,LOC8046,6d834a7d-a4bc-48e8-82e8-805c5079b4bd,new_year,social,twitter,customer3589@email.com,Fulfilled,ALT171108,WEBSITE,DEBIT_CARD,OVERNIGHT,RETURNING,DESKTOP,Firefox
122000344,2024-08-22T00:00:00.000,False,True,2000,2000,PHONE,dxlg-us,LOC3489,091db8d5-faed-4295-a4eb-c63c5f8e5d76,new_year,social,google,customer3155@email.com,Fulfilled,ALT127470,CALL_CENTER,APPLE_PAY,SAME_DAY,RETURNING,MOBILE,Safari
122000345,2020-04-16T00:00:00.000,False,True,5000,5000,STORE,dxlg-us,LOC3196,26fbde01-210c-402e-92a9-dc38338cfb3a,black_friday,direct,newsletter,customer7126@email.com,Fulfilled,ALT993522,IN_STORE,GIFT_CARD,PICKUP,RETURNING,MOBILE,Safari
122000346,2022-07-15T00:00:00.000,False,True,3000,3000,PHONE,dxlg-us,LOC7767,9d8e8a03-946e-4940-b040-18c9af94c8f3,summer_promo,referral,twitter,customer4323@email.com,Cancelled,ALT314498,WEBSITE,DEBIT_CARD,PICKUP,LOYALTY,TABLET,Edge
122000347,2022-10-07T00:00:00.000,False,True,3000,3000,STORE,dxlg-us,LOC6126,3b140b75-02b6-4bf7-8f2a-495d46da445f,holiday_2024,direct,twitter,customer9784@email.com,Shipped,ALT772550,WEBSITE,APPLE_PAY,STANDARD,LOYALTY,APP,Chrome
122000348,2022-10-03T00:00:00.000,False,True,2000,2000,WEB,dxlg-us,LOC7347,384b4ad2-f5fd-4d68-97b5-2c8dd487081c,black_friday,referral,google,customer4110@email.com,Fulfilled,ALT560905,IN_STORE,PAYPAL,OVERNIGHT,LOYALTY,MOBILE,Edge
122000349,2023-04-20T00:00:00.000,False,True,3000,3000,MOBILE,dxlg-us,LOC8595,e91eb2b0-5f8b-47aa-8c6f-d87fefb1dd12,new_year,referral,newsletter,customer2481@email.com,Processing,ALT624977,WEBSITE,DEBIT_CARD,SAME_DAY,RETURNING,APP,Edge
122000350,2023-08-17T00:00:00.000,False,True,3000,3000,STORE,dxlg-us,LOC4308,a8a34499-2383-4624-883c-b28f61b22226,holiday_2024,email,instagram,customer6309@email.com,Processing,ALT780081,MOBILE_APP,CREDIT_CARD,STANDARD,NEW,APP,Firefox
122000351,2020-12-15T00:00:00.000,False,True,2000,2000,MOBILE,dxlg-us,LOC7204,a3b80b05-73ee-459d-838f-1de6ee4b802c,black_friday,organic,google,customer3799@email.com,Fulfilled,ALT692960,MOBILE_APP,DEBIT_CARD,EXPRESS,RETURNING,DESKTOP,Edge
122000352,2023-06-15T00:00:00.000,False,True,2000,2000,PHONE,dxlg-us,LOC3960,17f29826-0372-4f58-8367-eba02f541126,spring_sale,social,facebook,customer1057@email.com,Shipped,ALT902575,CALL_CENTER,CREDIT_CARD,PICKUP,LOYALTY,APP,Mobile Safari
122000353,2020-01-24T00:00:00.000,False,True,2000,2000,MOBILE,dxlg-us,LOC4553,903ca27d-9611-428c-ba4d-843e0df08ed2,black_friday,referral,newsletter,customer8434@email.com,Pending,ALT563339,WEBSITE,APPLE_PAY,SAME_DAY,NEW,MOBILE,Mobile Safari
122000354,2023-02-13T00:00:00.000,False,True,4000,4000,MOBILE,dxlg-us,LOC1801,38ff67d1-cc7e-4cb3-80af-9e89e6bd6050,summer_promo,social,google,customer6718@email.com,Fulfilled,ALT252436,WEBSITE,APPLE_PAY,SAME_DAY,VIP,TABLET,Chrome
122000355,2020-07-19T00:00:00.000,False,True,3000,3000,MOBILE,dxlg-us,LOC5659,1d7725e2-6b54-4104-bc9d-6b2d19b91d03,black_friday,referral,twitter,customer3906@email.com,Pending,ALT885734,CALL_CENTER,CREDIT_CARD,STANDARD,VIP,TABLET,Firefox
122000356,2024-04-01T00:00:00.000,False,True,2000,2000,WEB,dxlg-us,LOC5797,bb0eb003-903d-4f1c-b092-0e57b317aa1e,holiday_2024,social,google,customer5496@email.com,Fulfilled,ALT652654,IN_STORE,APPLE_PAY,EXPRESS,RETURNING,DESKTOP,Chrome
122000357,2020-12-25T00:00:00.000,False,True,5000,5000,PHONE,dxlg-us,LOC7996,5266ab09-30ec-499c-aaa8-40d78a399bcf,black_friday,cpc,instagram,customer9608@email.com,Shipped,ALT753518,CALL_CENTER,DEBIT_CARD,SAME_DAY,LOYALTY,APP,Edge
122000358,2022-01-06T00:00:00.000,False,True,3000,3000,PHONE,dxlg-us,LOC4171,6dd57beb-86bc-4500-87e7-3661bde53dad,spring_sale,email,google,customer8616@email.com,Processing,ALT935434,WEBSITE,DEBIT_CARD,SAME_DAY,LOYALTY,APP,Chrome
122000359,2023-09-29T00:00:00.000,False,True,5000,5000,MOBILE,dxlg-us,LOC1185,bd9096d1-a648-4d41-b561-882036ce7a7a,cyber_monday,social,twitter,customer5614@email.com,Fulfilled,ALT928580,WEBSITE,PAYPAL,OVERNIGHT,VIP,DESKTOP,Chrome
122000360,2023-09-27T00:00:00.000,False,True,5000,5000,WEB,dxlg-us,LOC3877,e67b2f76-1332-4a7d-b77d-9cfe04985ac1,summer_promo,cpc,affiliate,customer6536@email.com,Processing,ALT602381,IN_STORE,CREDIT_CARD,EXPRESS,LOYALTY,MOBILE,Edge
122000361,2023-10-04T00:00:00.000,False,True,2000,2000,WEB,dxlg-us,LOC9537,31642d10-c995-4dd8-a5fb-17773128fa52,fall_clearance,direct,twitter,customer6169@email.com,Shipped,ALT661916,WEBSITE,DEBIT_CARD,SAME_DAY,VIP,TABLET,Chrome
122000362,2021-09-03T00:00:00.000,False,True,3000,3000,PHONE,dxlg-us,LOC7147,376b5fce-27a6-4480-8ebd-0ae0bfc8644c,cyber_monday,direct,affiliate,customer3719@email.com,Shipped,ALT735111,IN_STORE,DEBIT_CARD,SAME_DAY,NEW,TABLET,Firefox
122000363,2020-05-09T00:00:00.000,False,True,3000,3000,STORE,dxlg-us,LOC4893,427a8a43-b7cf-4654-8589-b4ed842be526,fall_clearance,organic,affiliate,customer5958@email.com,Fulfilled,ALT650607,CALL_CENTER,DEBIT_CARD,STANDARD,VIP,DESKTOP,Safari
122000364,2021-01-14T00:00:00.000,False,True,3000,3000,STORE,dxlg-us,LOC9192,f1706030-2a8d-49de-9149-f10768307f96,summer_promo,social,instagram,customer8921@email.com,Processing,ALT649063,CALL_CENTER,PAYPAL,EXPRESS,NEW,MOBILE,Safari
122000365,2020-05-29T00:00:00.000,False,True,5000,5000,WEB,dxlg-us,LOC1067,9639fc7e-e2ac-4c74-b322-f3067c25273d,fall_clearance,email,twitter,customer2426@email.com,Fulfilled,ALT589554,WEBSITE,CREDIT_CARD,SAME_DAY,VIP,DESKTOP,Mobile Safari
122000366,2023-07-02T00:00:00.000,False,True,3000,3000,PHONE,dxlg-us,LOC4285,a2ef60a3-041b-4d6b-9919-84a75279649d,summer_promo,cpc,instagram,customer9720@email.com,Fulfilled,ALT910326,IN_STORE,CREDIT_CARD,OVERNIGHT,RETURNING,MOBILE,Firefox
122000367,2021-04-13T00:00:00.000,False,True,4000,4000,WEB,dxlg-us,LOC4384,c188baae-ab00-4471-a04f-a6be8eba60be,black_friday,cpc,bing,customer6218@email.com,Fulfilled,ALT248433,CALL_CENTER,APPLE_PAY,EXPRESS,RETURNING,DESKTOP,Firefox
122000368,2023-10-19T00:00:00.000,False,True,3000,3000,MOBILE,dxlg-us,LOC1475,a0f7d181-e0c6-4f25-a3c2-d7abda8cc826,holiday_2024,referral,google,customer2735@email.com,Pending,ALT156413,WEBSITE,GIFT_CARD,PICKUP,RETURNING,APP,Mobile Safari
122000369,2023-12-27T00:00:00.000,False,True,3000,3000,WEB,dxlg-us,LOC8629,8d45849f-d829-476f-9760-f83d42137f98,black_friday,social,google,customer8672@email.com,Fulfilled,ALT577714,CALL_CENTER,GIFT_CARD,PICKUP,RETURNING,MOBILE,Safari
122000370,2022-11-22T00:00:00.000,False,True,2000,2000,MOBILE,dxlg-us,LOC6412,3bf87516-7de8-4ad5-a0d5-76cb25460ea9,new_year,cpc,newsletter,customer8987@email.com,Fulfilled,ALT168540,IN_STORE,CREDIT_CARD,OVERNIGHT,LOYALTY,APP,Safari
122000371,2023-03-02T00:00:00.000,False,True,4000,4000,MOBILE,dxlg-us,LOC9322,c0cf928a-a40e-42c3-94ea-094982b18497,spring_sale,organic,affiliate,customer2752@email.com,Fulfilled,ALT683165,WEBSITE,PAYPAL,SAME_DAY,LOYALTY,APP,Mobile Safari
122000372,2024-08-20T00:00:00.000,False,True,3000,3000,MOBILE,dxlg-us,LOC8903,8842cb7c-976d-4025-a38a-3dd7a4065aa0,holiday_2024,email,instagram,customer4411@email.com,Cancelled,ALT827774,IN_STORE,GIFT_CARD,SAME_DAY,VIP,MOBILE,Safari
122000373,2020-11-15T00:00:00.000,False,True,5000,5000,STORE,dxlg-us,LOC2873,67cb09dd-cb07-4071-b84a-29d4e638b726,black_friday,direct,newsletter,customer6330@email.com,Shipped,ALT202397,IN_STORE,DEBIT_CARD,OVERNIGHT,LOYALTY,DESKTOP,Mobile Safari
122000374,2021-03-21T00:00:00.000,False,True,4000,4000,STORE,dxlg-us,LOC6364,f0ec2a0e-2b65-46a6-8dd9-7887001bd36f,holiday_2024,referral,twitter,customer2007@email.com,Fulfilled,ALT328182,MOBILE_APP,APPLE_PAY,STANDARD,RETURNING,MOBILE,Edge
122000375,2023-04-08T00:00:00.000,False,True,4000,4000,STORE,dxlg-us,LOC4205,cb984bc3-5e15-407d-bf29-9b1d652a2095,summer_promo,referral,instagram,customer5910@email.com,Shipped,ALT932932,CALL_CENTER,GIFT_CARD,OVERNIGHT,NEW,DESKTOP,Mobile Safari
122000376,2025-09-21T00:00:00.000,False,True,3000,3000,PHONE,dxlg-us,LOC2022,66306fad-1f50-44db-8eec-5866bd5a1aca,fall_clearance,direct,google,customer1013@email.com,Processing,ALT687234,CALL_CENTER,CREDIT_CARD,OVERNIGHT,NEW,MOBILE,Edge
122000377,2024-06-02T00:00:00.000,False,True,5000,5000,STORE,dxlg-us,LOC7652,26a7a0cc-b7bd-403c-bd60-da9d976adcc2,holiday_2024,organic,bing,customer4460@email.com,Processing,ALT281833,IN_STORE,DEBIT_CARD,EXPRESS,LOYALTY,TABLET,Edge
122000378,2021-09-23T00:00:00.000,False,True,5000,5000,MOBILE,dxlg-us,LOC3200,7e3f0859-cff8-4a9c-aded-258360e28669,spring_sale,email,twitter,customer1257@email.com,Fulfilled,ALT856379,IN_STORE,GIFT_CARD,EXPRESS,NEW,MOBILE,Edge
122000379,2025-02-10T00:00:00.000,False,True,5000,5000,STORE,dxlg-us,LOC3945,b5f9100c-a84b-4c9f-806d-eeb8a5e083a6,holiday_2024,direct,newsletter,customer8373@email.com,Pending,ALT472566,MOBILE_APP,DEBIT_CARD,PICKUP,NEW,APP,Safari
122000380,2025-08-17T00:00:00.000,False,True,4000,4000,PHONE,dxlg-us,LOC1548,07bf06f7-2e98-413a-b572-e559a5a2ba01,spring_sale,direct,newsletter,customer7038@email.com,Fulfilled,ALT708455,IN_STORE,CREDIT_CARD,EXPRESS,VIP,APP,Mobile Safari
122000381,2020-11-16T00:00:00.000,False,True,4000,4000,WEB,dxlg-us,LOC5017,268d5b87-5b69-4e17-9865-660d9dfeab02,holiday_2024,referral,twitter,customer2279@email.com,Processing,ALT764469,CALL_CENTER,APPLE_PAY,STANDARD,VIP,DESKTOP,Edge
